('5063949', 'MPE447737398', '92900103946'),
('5114200', 'MPE446599423', '89313422448'),
('5114196', 'MPE446599423', '93450681694'),
('5114198', 'MPE446599423', '93450681709'),
('5114196', 'MPE446599268', '89311162047'),
('5114196', 'MPE447362338', '91665954498'),
('5114198', 'MPE447362338', '91665954503'),
('5114200', 'MPE447362338', '91665954508'),
('5063954', 'MPE447737421', '92901053823'),
('5063956', 'MPE446600094', '89321644119'),
('4878504', 'MPE446600170', '89322460646'),
('4681714', 'MPE446600246', '89323045303'),
('4682125', 'MPE446600326', '89323600075'),
('5046129', 'MPE445898816', '92703695693'),
('5046125', 'MPE445898816', '92703695686'),
('5046126', 'MPE445898816', '92703695690'),
('5046128', 'MPE445898816', '86442388901'),
('5046130', 'MPE445898816', '92703695697'),
('5046125', 'MPE445898812', '86442364252'),
('5046126', 'MPE445898798', '86442363730'),
('5046129', 'MPE445898809', '86442363741'),
('5046130', 'MPE445898829', '86442390523'),
('5046131', 'MPE445898818', '86442388967'),
('5046135', 'MPE445898844', '86442366721'),
('5046086', 'MPE445898834', '86442342873'),
('5046087', 'MPE445898834', '91670163996'),
('5046090', 'MPE445898834', '91670311690'),
('5046089', 'MPE445898834', '91670323421'),
('5046088', 'MPE445898834', '91670390507'),
('5046088', 'MPE447937599', '94623136078'),
('5046093', 'MPE445898811', '91670008349'),
('5046091', 'MPE445898811', '86442364196'),
('5046092', 'MPE445898811', '91669450124'),
('5046094', 'MPE445898811', '91669646051'),
('5046095', 'MPE445898811', '91669012619'),
('5046101', 'MPE445898828', '92705142165'),
('5046104', 'MPE445898828', '86442366392'),
('5046103', 'MPE445898828', '92705142155'),
('5046102', 'MPE445898828', '92705142160'),
('5046103', 'MPE445898831', '86442390763'),
('5046105', 'MPE445898814', '92755819322'),
('5046108', 'MPE445898814', '86442388161'),
('5046107', 'MPE445898814', '92755819332'),
('5046106', 'MPE445898814', '92755819341'),
('5046106', 'MPE445898823', '86442390299'),
('5046107', 'MPE445898830', '86442390633'),
('5046059', 'MPE445898821', '91671179641'),
('5046062', 'MPE445898821', '86442389614'),
('5046060', 'MPE445898821', '91670712274'),
('5046061', 'MPE445898821', '91670967132'),
('5046063', 'MPE445898822', '91671175682'),
('5046066', 'MPE445898822', '86442389674'),
('5046065', 'MPE445898822', '91671319434'),
('5046064', 'MPE445898822', '91671476421'),
('5046063', 'MPE447937816', '94624217438'),
('5046064', 'MPE445898801', '86442340972'),
('5046065', 'MPE445898802', '86442342389'),
('5027045', 'MPE445933120', '90416888082'),
('5027045', 'MPE447567465', '92337952092'),
('5027046', 'MPE447567465', '92337952100'),
('5027047', 'MPE447567465', '92337952105'),
('5027046', 'MPE445933116', '86575118247'),
('5027047', 'MPE445933113', '86575093331'),
('5027048', 'MPE445933118', '92339059231'),
('5027048', 'MPE445933112', '92338825265'),
('5027050', 'MPE445933112', '86575093189'),
('5027049', 'MPE445933112', '94877833830'),
('5027025', 'MPE445990279', '92759804685'),
('5027026', 'MPE445990279', '86792578647'),
('5027027', 'MPE445990279', '92759804689'),
('5027029', 'MPE445990279', '92759804693'),
('5027028', 'MPE445990279', '92759804699'),
('5027027', 'MPE445933117', '86575118249'),
('5027028', 'MPE445933110', '86575092912'),
('5027029', 'MPE445933121', '86575069836'),
('5027030', 'MPE445933125', '86575118314'),
('5027032', 'MPE445933125', '92761264162'),
('5027034', 'MPE445933125', '92761264166'),
('5027033', 'MPE445933125', '92761264174'),
('5027032', 'MPE445933111', '86575092985'),
('5027034', 'MPE446605089', '89440879573'),
('4461906', 'MPE446604858', '89436326896'),
('4461906', 'MPE601890558', '173740367818'),
('4461908', 'MPE446605121', '89441609918'),
('5046028', 'MPE446002587', '86905106434'),
('4682129', 'MPE446768791', ''),
('3553553', 'MPE446647631', '89707104490'),
('3578869', 'MPE446647476', '89706721344'),
('4682130', 'MPE446654020', '89710813900'),
('2918147', 'MPE446654299', '89710951026'),
('4348223', 'MPE446769010', '90052601444'),
('3071346', 'MPE446769067', '90053227684'),
('4348220', 'MPE446605201', ''),
('3075291', 'MPE447357677', ''),
('4641700', 'MPE446728735', '89930507596'),
('5044857', 'MPE446002572', '86904997029'),
('4833036', 'MPE446002639', '86905780253'),
('4312891', 'MPE445990670', '86795799457'),
('5026998', 'MPE446604955', '91527894342'),
('5026953', 'MPE446604955', '91527894345'),
('5026997', 'MPE446604955', '91527894348'),
('5027001', 'MPE446604955', '91527894351'),
('5027001', 'MPE445992192', '86802528559'),
('5026967', 'MPE445990529', '86794451808'),
('5026966', 'MPE445990448', '92312266591'),
('5026968', 'MPE445990448', '86793925091'),
('5026967', 'MPE445990448', '92320378763'),
('5026965', 'MPE445990448', '92322048861'),
('5026965', 'MPE445990495', '92322661818'),
('5027008', 'MPE445990348', '86793268483'),
('5027009', 'MPE445990218', '91673070266'),
('5027007', 'MPE445990218', '86792133198'),
('5027008', 'MPE445990218', '91673230604'),
('5027009', 'MPE445990310', '86792943849'),
('5027011', 'MPE445990192', '86791875413'),
('5027010', 'MPE445990123', '86790930267'),
('5027012', 'MPE445990123', '91672782589'),
('5027011', 'MPE445990123', '91672917982'),
('5027012', 'MPE445990151', '86791372744'),
('4374462', 'MPE446769168', '90054044209'),
('4591197', 'MPE446769207', '90054551548'),
('4607656', 'MPE446769267', '90055136948'),
('5026997', 'MPE446604968', '89438700796'),
('3238034', 'MPE446769304', ''),
('3432275', 'MPE446769372', '90056363107'),
('4607653', 'MPE446769491', '90057559220'),
('4682128', 'MPE446769537', '90057940516'),
('4487567', 'MPE446589106', '89188796798'),
('5196300', 'MPE447153178', '91208892774'),
('5196299', 'MPE447153623', '91210105958'),
('5196288', 'MPE447189122', '91282831022'),
('5196251', 'MPE447191668', '91298350182'),
('5196260', 'MPE445972959', '86698096640'),
('5198356', 'MPE447969447', ''),
('5198355', 'MPE447969736', ''),
('5198362', 'MPE447814935', ''),
('5198330', 'MPE447969772', ''),
('5198359', 'MPE447969794', ''),
('5198361', 'MPE447815416', ''),
('5198358', 'MPE447969825', ''),
('5027006', 'MPE447856134', '93727257604'),
('5027049', 'MPE447861239', '93861612414'),
('4461909', 'MPE447861414', '93863878510'),
('5196246', 'MPE448040585', '95277613205'),
('5195974', 'MPE448036399', '95256591197'),
('5195973', 'MPE447861675', '93866766813'),
('4972457', 'MPE447866731', '93986114756'),
('4972458', 'MPE447866769', '93986778087'),
('4972459', 'MPE447867369', '93988778341'),
('5046146', 'MPE447938664', '94626004359'),
('5046147', 'MPE447938664', '94908133815'),
('5046147', 'MPE447939275', '94628610691'),
('5046072', 'MPE600030209', '173542213970'),
('5046071', 'MPE448106473', '95654127790'),
('5046072', 'MPE448106473', '95653633507'),
('5046074', 'MPE448106473', '95654127795'),
('5046074', 'MPE600030197', '173542213137'),
('5046071', 'MPE448106552', '95653960107'),
('5114202', 'MPE600381140', '173580679141'),
('5114204', 'MPE600376157', '173580708655'),
('5114204', 'MPE600351167', '173580738303'),
('5114203', 'MPE600376171', '173580793516'),
